Synbiosis ProtoCOL Colony Counter 4.04,,,,,,
Study Name,E. Coli,,,,,
Batch Name,01.01.13,,,,,
Type,Pour Plate,,,,,
Based on,totalcount,,,,,
Comment,,,,,,
,,,,,,
System Parameters,,,,,,
Video State,Inverted,,,,,
Selected Lamp,Top Lamp On,Bottom Lamp Off,,,,
Camera Shutter,1/125 sec,,,,,
Contrast Setting,High,,,,,
Dish Diameter,88,mm,,,,
Sample Volume,1,ml,,,,
Area Limits,Off,,,,,
Shape Discrimination,Off,,,,,
Maximum Area for Separation,99999.9,mm^2,,,,
Count Limits,Off,,,,,
Frame Type,Circle,,,,,
Feature Size Sensitivity,64,,,,,
Calibration Factor,0.1933,mm \ Pixel,Created: ,08:48,10/10/2010,
 ,,,,,,
Sample N˜,1,1,CFU/mL,Dilution,Time,Date
,1,1,,1,,
A359952-1,1,1,4600,1.00E-01,11:18,01/01/2013
A359952-1,1,1,7500,1.00E-02,11:19,01/01/2013
A359952-1,1,1,7000,1.00E-03,11:19,01/01/2013
A359952-1,1,1,7250,,,
