"SCAN500, version 8.3.1.0 v3.4",,,,,,,,,,,,,,,
Operator name :,User,,,,,,,,,,,,,,
Date:,07/08/2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sample N°,Count,Dilution,V (mL),CFU/mL,CFU Prorata,Area (%),Sensitivity,Parameters,Auto/Forced,mean CFU Ø (mm),min CFU Ø (mm),max CFU Ø (mm),Comment,Date,Time
1,45,1,1,60.11,60,74.868484,50,validation,A,3.42,2.18,4.83,OK,16/06/2019,7:50:59 AM
A352376-1,126,1.00E-01,1,1683,168,74.868484,50,PCA,A,0.77,0.1,4.76,OK,16/06/2019,7:53:06 AM
A352376-1,17,1.00E-02,1,2271,23,74.868484,50,PCA,A,0.54,0.1,1.18,Record was later modified,16/06/2019,7:53:56 AM
A352376-1,27,1.00E-03,1,36060,36,74.868484,50,PCA,A,0.64,0.1,2.75,Record was later modified,16/06/2019,7:54:13 AM
A352376-1,--- Average ---,,,1736,,,,,,,,,,,
A352377-1,1041,1.00E-01,1,13900,1390,74.868484,50,PCA,A,0.67,0.1,2.78,Record was later modified,16/06/2019,7:58:30 AM
A352377-1,252,1.00E-02,1,33660,337,74.868484,50,PCA,A,0.93,0.1,3.52,Record was later modified,16/06/2019,7:59:08 AM
A352377-1,67,1.00E-03,1,89490,89,74.868484,50,PCA,A,0.75,0.1,2.54,OK,16/06/2019,7:59:37 AM
A352377-1,--- Average ---,,,38730,,,,,,,,,,,
A352521-1,484,1.00E-01,1,6465,646,74.868484,50,PCA,A,0.7,0.1,4.44,OK,16/06/2019,8:01:54 AM
A352521-1,57,1.00E-02,1,7613,76,74.868484,50,PCA,A,0.7,0.1,2.77,OK,16/06/2019,8:02:19 AM
A352521-1,28,1.00E-03,1,37400,37,74.868484,50,PCA,A,0.65,0.1,8.52,Nb CFU < 30 ,16/06/2019,8:02:52 AM
A352521-1,--- Average ---,,,6569,,,,,,,,,,,
A352488-1,418,1.00E-02,1,55830,558,74.868484,50,PCA,A,0.38,0.1,3.69,Record was later modified,16/06/2019,8:03:42 AM
A352488-1,102,1.00E-03,1,136200,136,74.868484,50,PCA,A,0.73,0.1,1.93,OK,16/06/2019,8:06:48 AM
A352488-1,9,1.00E-04,1,127800,13,70.409981,50,PCA,A,1.52,0.6,5.52,Nb CFU < 30 ,16/06/2019,8:08:24 AM
A352488-1,--- Average ---,,,63140,,,,,,,,,,,
A352488-2,6,1,1,8.127,8,73.827446,50,PCA,A,0.66,0.14,1.42,OK,07/08/2019,2:13:16 PM
