"SCAN500, version 8.3.1.0 v3.4",,,,,,,,,,,,,,,
Operator name :,User,,,,,,,,,,,,,,
Date:,16/09/2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sample N°,Count,Dilution,V (mL),CFU/mL,CFU Prorata,Area (%),Sensitivity,Parameters,Auto/Forced,mean CFU Ø (mm),min CFU Ø (mm),max CFU Ø (mm),Comment,Date,Time
A353824-1,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:40:23 AM
A353824-1,0,1.00E-02,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:40:39 AM
A353824-1,--- Average ---,,,0,,,,,,,,,,,
A353824-2,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:40:47 AM
A353824-2,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:41:05 AM
A353824-2,--- Average ---,,,0,,,,,,,,,,,
A353936-1,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:41:30 AM
A353936-1,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:41:41 AM
A353936-1,--- Average ---,,,0,,,,,,,,,,,
A353948-1,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:42:00 AM
A353948-1,0,1.00E-01,1,0,0,80.182961,,Coliforms,A,,,,OK,26/06/2019,9:42:07 AM
A353948-1,--- Average ---,,,0,,,,,,,,,,,
