"SCAN500, version 8.3.1.0 v3.4",,,,,,,,,,,,,,,
Operator name :,User,,,,,,,,,,,,,,
Date:,16/09/2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sample N°,Count,Dilution,V (mL),CFU/mL,CFU Prorata,Area (%),Sensitivity,Parameters,Auto/Forced,mean CFU Ø (mm),min CFU Ø (mm),max CFU Ø (mm),Comment,Date,Time
A354100-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:50:18 PM
A354100-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:50:27 PM
A354100-1,--- Average ---,,,0,,,,,,,,,,,
A354101-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:50:41 PM
A354101-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:50:51 PM
A354101-1,--- Average ---,,,0,,,,,,,,,,,
A354165-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:51:08 PM
A354165-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:51:16 PM
A354165-1,--- Average ---,,,0,,,,,,,,,,,
A354197-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:51:29 PM
A354197-1,0,1.00E-01,1,0,0,67.734306,65,TBX,A,,,,OK,30/06/2019,2:51:40 PM
A354197-1,--- Average ---,,,0,,,,,,,,,,,
